id,name,lat,lng,place_id,f_address,address,address2,city,state,zip,country,phone1,toll_free,hotline,fax,email_primary,email_secondary,web,contact,executive_director/th>,board_leader,year_founded,hours1,hours2,hours3,hours4,hours5,hours6,hours7,Services_Programs,Anti_Violence,Arts_Culture,Civic_Engagement,Community_Outreach_Education,hotlines,information_Education,legal,mental_health,older_adult,physical_health,youth,Social_media,facebook_url,twitter_url,donation_url,volunteer_url,instagram_url
10,VECTOR Health & Wellness,36.0807781,-94.2043358,EjExMjY3IFN0ZWFtYm9hdCBEciAjMywgRmF5ZXR0ZXZpbGxlLCBBUiA3MjcwNCwgVVNBIh0aGwoWChQKEglxngaIQm7JhxE6pM03_KuMJxIBMw,"1267 Steamboat Dr #3, Fayetteville, AR 72704, USA",1267 N. Steamboat Drive,Ste 3,Fayetteville,AR,72704,United States,479-316-6565,,,,info@VECTORHealthNWA.com,,http://www.vectorhealthnwa.com/,,,,,Monday: 8:00 am - 5:00 pm,Tuesday: 8:00 am - 5:00 pm,Wednesday: 9:00 am - 6:00 pm,Thursday: 8:00 am - 5:00 pm,Friday: 8:00 am - 12:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
11,San Gabriel Valley LGBTQ Center,34.1086241,-118.0319198,ChIJHxW86TrawoAR3PYZGD5t68s,"2607 S Santa Anita Ave, Arcadia, CA 91006, USA",2607 S. Santa Anita Ave,,Arcadia,CA,91016,United States,626-578-5772,,,,,,http://www.sgvlgbtq.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,The Center for Sexuality & Gender Diversity,35.3754676,-119.0120084,ChIJaaeAb4hp6oAR4gacKymCk-A,"902 18th St, Bakersfield, CA 93301, USA",902 18th Street,,Bakersfield,CA,93301,United States,661-843-7995,,,,info@thecenterbak.org,,http://www.thecenterbak.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pacific Center for Human Growth,37.861077,-122.2593404,ChIJsyNSmyx8hYARklo3KlvKsi0,"2712 Telegraph Ave, Berkeley, CA 94705, USA",2712 Telegraph Avenue,,Berkeley,CA,94705,United States,510-548-8283,,,,info@pacificcenter.org,,http://www.pacificcenter.org/,,,,,Monday: 10:00 am - 7:00 pm,Tuesday: 10:00 am - 7:00 pm,Wednesday: 10:00 am - 7:00 pm,Thursday: 10:00 am - 7:00 pm,Friday: 10:00 am - 7:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
14,Burbank Community YMCA Social Impact Center,34.1847652,-118.3105325,ChIJYcRj-0-VwoARvSSGKaztMWA,"321 E Magnolia Blvd, Burbank, CA 91502, USA",321 East Magnolia Blvd,,Burbank,CA,91502,United States,818-845-8551,,,,rrodriguez@burbankymca.org,,https://www.burbankymca.org/social-impact-center,Rob Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Rainbow Community Center of Contra Costa County,37.976344,-122.033446,ChIJ4cyEGiZnhYARiu3pJtjh1Fk,"2118 Willow Pass Rd #500, Concord, CA 94520, USA",2118 Willow Pass Road,Suite 500,Concord,CA,94520,United States,925-692-0090,,,,rcc@rainbowcc.org,,http://www.rainbowcc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,The Spahr Center,37.9385295,-122.5175535,ChIJWzJn4maahYARDHbLk1JHc2g,"150 Nellen Ave #100, Corte Madera, CA 94925, USA",150 Nellen Ave,Suite 100,Corte Madera,CA,94925,United States,415-457-2487,,,,info@thespahrcenter.org,,http://www.thespahrcenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Imperial Valley LGBT Resource Center,32.7810416,-115.5644539,ChIJVVUleCpn14ARkN4jC8cLFk0,"1073 Ross Ave E, El Centro, CA 92243, USA","1073 Ross Avenue, Ste E",,El Centro,CA,92243,United States,760-592-4066,,,,info@ivlgbtcenter.com,,http://www.ivlgbtcenter.com/,,,,,Monday: 10:00 am - 5:00 pm,Tuesday: 10:00 am - 5:00 pm,Wednesday: 10:00 am - 5:00 pm,Thursday: 10:00 am - 5:00 pm,Friday: 10:00 am - 5:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
18,Solano Pride Center,38.2510962,-122.048853,Ei4xMjM0IEVtcGlyZSBTdCAjMTU2MCwgRmFpcmZpZWxkLCBDQSA5NDUzMywgVVNBIiAaHgoWChQKEglJE69RNxSFgBFvPcmeuhnBYBIEMTU2MA,"1234 Empire St #1560, Fairfield, CA 94533, USA",1234 Empire St,Suite 1560,Fairfield,CA,94533,United States,707-207-3430,,,,Info@Solanopride.org,,http://www.solanopride.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,The LGBTQ Center Long Beach,33.7719543,-118.1671687,ChIJ92Wt-g4x3YARKTDwvzsGWEY,"2017 E 4th St, Long Beach, CA 90814, USA",2017 E. 4th Street,,Long Beach,CA,90814,United States,562-434-4455,,,,info@centerlb.org,,http://www.centerlb.org/,,,,,Monday: 10:00 am - 9:00 pm,Tuesday: 10:00 am - 9:00 pm,Wednesday: 10:00 am - 9:00 pm,Thursday: 10:00 am - 9:00 pm,Friday: 10:00 am - 9:00 pm,Saturday: 10:00 am - 4:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
20,Latino Equality Alliance,34.0392765,-118.2234897,ChIJIYiE1hvGwoAR6zHPlg8ADlY,"553 S Clarence St, Los Angeles, CA 90033, USA",553 S. Clarence Street,,Los Angeles,CA,90033,United States,323-286-7224,,,,nfo@Latinoequalityalliance.com,,http://www.latinoequalityalliance.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Los Angeles LGBT Center,34.1005519,-118.3327323,ChIJgy0TFDu_woAR_wWgR7T7_xM,"1625 Schrader Blvd, Los Angeles, CA 90028, USA",1625 Schrader Blvd,,Los Angeles,CA,90028,United States,323-993-7400,,,,,,http://www.lalgbtcenter.org/,,,,,Monday: 9:00 am - 5:00 pm,Tuesday: 9:00 am - 5:00 pm,Wednesday: 9:00 am - 5:00 pm,Thursday: 9:00 am - 5:00 pm,Friday: 9:00 am - 5:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
22,Central Valley Pride Center,37.6365173,-120.991288,ChIJizsSEIlTkIARWXEsvBYsTKY,"400 12th St Suite #2, Modesto, CA 95354, USA",400 12th Street,Suite 2,Modesto,CA,95354,United States,209-372-3056,,,,,,https://centralvalleypridecenter.org/,,,,,Monday: Closed,Tuesday: 2:00 - 7:00 pm,Wednesday: 2:00 - 7:00 pm,Thursday: 2:00 - 7:00 pm,Friday: 2:00 - 7:00 pm,Saturday: 2:00 - 7:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
23,On The Move/LGBTQ Connection,38.3102523,-122.2876518,ChIJSaOVSYsGhYARy3N_bvtu8xw,"780 Lincoln Ave, Napa, CA 94558, USA",780 Lincoln Avenue,,Napa,CA,94558,United States,707-251-9432,,,,,,https://www.lgbtqconnection.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Oakland LGBTQ Community Center,37.8103802,-122.2459822,ChIJac50ekGHj4ARwS8fTSMmCI0,"3207 Lakeshore Ave, Oakland, CA 94610, USA",3207 Lakeshore Ave,,Oakland,CA,94610,United States,510-882-2286,,,,,,http://www.oaklandlgbtqcenter.org/,,,,,Monday: 12:00 - 8:00 pm,Tuesday: 12:00 - 8:00 pm,Wednesday: 12:00 - 8:00 pm,Thursday: 12:00 - 8:00 pm,Friday: 12:00 - 8:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
25,North County LGBTQ Resource Center,33.214339,-117.347658,ChIJHVME5jJw3IARSQnsqxa9fH0,"3220 Mission Ave #1, Oceanside, CA 92058, USA",3220 Mission Ave,2,Oceanside,CA,92058,United States,760-994-1690,,,,info@ncresourcecenter.org,,http://www.ncresourcecenter.org/,,,,,Monday: 12:00 - 8:00 pm,Tuesday: 12:00 - 8:00 pm,Wednesday: 12:00 - 8:00 pm,Thursday: 12:00 - 8:00 pm,Friday: 12:00 - 8:00 pm,Saturday: 10:00 am - 6:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
26,The LGBTQ Community Center of the Desert,33.8404603,-116.547079,ChIJV64_b8Yb24AR_eRVES83ybM,"1301 N Palm Canyon Dr #301, Palm Springs, CA 92262, USA",1301 N Palm Canyon Drive,Suite 301,Palm Springs,CA,92262,United States,760-416-7790,,,,info@thecentercv.org,,http://thecentercv.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Pomona Pride Center, Inc.",34.0673869,-117.7492947,ChIJ_xyMBwguw4ARpefAisGO10g,"242 E Alvarado St, Pomona, CA 91767, USA",242 E. Alvarado,,Pomona,CA,91767,United States,,,,,,,https://pomonapridecenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NorCal OUTreach Project,40.569999,-122.3384645,EikyNTUzIFZpY3RvciBBdmUgQSwgUmVkZGluZywgQ0EgOTYwMDIsIFVTQSIdGhsKFgoUChIJyYeYiqzs0lQRla2Xrf0P51USAUE,"2553 Victor Ave A, Redding, CA 96002, USA",2553 Victor Ave,Suite A,Redding,CA,96002,United States,530-949-6267,,,,,,http://www.norcaloutreach.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sacramento LGBT Community Center,38.5762144,-121.4798502,ChIJt6_BysTQmoARo8M6R-HoFu0,"1015 20th St, Sacramento, CA 95811, USA",1015 20th Street,,Sacramento,CA,95811,United States,916-442-0185,,,,info@saccenter.org,,http://www.saccenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,The San Diego LGBT Community Center,32.7489449,-117.1476612,ChIJL7woeuhU2YARUP0sw8nzV-k,"3909 Centre St, San Diego, CA 92103, USA",3909 Centre Street,,San Diego,CA,92103,United States,619-692-2077,,,,,,http://www.thecentersd.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,San Francisco LGBT Community Center,37.7716881,-122.4240297,ChIJ73Ni9Z-AhYARtgD22fmgr7E,"1800 Market St, San Francisco, CA 94102, USA",1800 Market Street,,San Francisco,CA,94102,United States,415-865-5555,,,,,,http://www.sfcenter.org/,,,,,Monday: 9:00 am - 8:00 pm,Tuesday: 9:00 am - 8:00 pm,Wednesday: 9:00 am - 8:00 pm,Thursday: 9:00 am - 8:00 pm,Friday: 9:00 am - 5:00 pm,Saturday: 10:00 am - 5:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
32,Billy DeFrank LGBT Community Center,37.3313155,-121.9079749,ChIJP0kwLFzLj4ARRDQejKRhasE,"938 The Alameda, San Jose, CA 95126, USA",938 The Alameda,,San Jose,CA,95126,United States,408-293-3040,,,,fabulous@defrank.org,,http://www.defrank.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Gala Pride and Diversity Center,35.28341,-120.6613542,ChIJQVnTQAHx7IARHa7qzpyqs54,"1060 Palm St, San Luis Obispo, CA 93401, USA",1060 Palm Street,,San Luis Obispo,CA,93401,United States,805-541-4252,,,,email@galacc.org,,http://www.ccgala.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,San Mateo County Pride Center,37.5569539,-122.3188786,ChIJ-Z6JAWeej4ARcvWfIFPSX3M,"1021 S El Camino Real, San Mateo, CA 94402, USA",1021 S. El Camino Real,,San Mateo,CA,94402,United States,650-591-0133,,,,info@sanmateopride.org,,https://sanmateopride.org/,,,,,Monday: 10:00 am - 7:00 pm,Tuesday: 10:00 am - 7:00 pm,Wednesday: 10:00 am - 7:00 pm,Thursday: 10:00 am - 7:00 pm,Friday: 1:00 - 9:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
35,LGBTQ Center Orange County,33.7592972,-117.8648653,ChIJLcUqFaXZ3IAR2-6DtVRWiUw,"1605 N Spurgeon St, Santa Ana, CA 92701, USA",1605 N. Spurgeon Street,,Santa Ana,CA,92701,United States,714-953-5428,,,,info@lgbtqcenteroc.org,,http://www.lgbtcenteroc.org/,,,,,Monday: 10:00 am - 6:00 pm,Tuesday: 10:00 am - 6:00 pm,Wednesday: 10:00 am - 6:00 pm,Thursday: 10:00 am - 6:00 pm,Friday: 10:00 am - 6:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
36,Pacific Pride Foundation,34.4193295,-119.6959723,Ei42MDggQW5hY2FwYSBTdCBBLCBTYW50YSBCYXJiYXJhLCBDQSA5MzEwMSwgVVNBIh0aGwoWChQKEgl9piR_hxPpgBEK6i1MtBDszxIBQQ,"608 Anacapa St A, Santa Barbara, CA 93101, USA",608 Anacapa St,Suite A,Santa Barbara,CA,93101,United States,805-963-3636,,,,hello@pacificpridefoundation.org,,http://www.pacificpridefoundation.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,The Diversity Center: The Santa Cruz LGBT Community Center,36.9794277,-122.0117407,ChIJXUMhzB5AjoARKHH-ZeuamhY,"1117 Soquel Ave, Santa Cruz, CA 95062, USA",1117 Soquel Ave,,Santa Cruz,CA,95062,United States,831-425-5422,,,,info@diversitycenter.org,,http://www.diversitycenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,South Bay LGBTQ Center,33.8798973,-118.3257818,ChIJs4StoAu1woARuwvgN0QTXSE,"16610 Crenshaw Blvd, Torrance, CA 90504, USA",16610 Crenshaw Blvd,,Torrance,CA,90504,United States,310-328-6550,,,,southbaylgbtcenter@gmail.com,,http://www.southbaycenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Diversity Collective Ventura County Community Resource Center,34.2512109,-119.225114,EiwyNDcxIFBvcnRvbGEgUmQgIzEwMCwgVmVudHVyYSwgQ0EgOTMwMDMsIFVTQSIfGh0KFgoUChIJzUUSDFxN6IARedUQEn3s4yQSAzEwMA,"2471 Portola Rd #100, Ventura, CA 93003, USA",2471 Portola Road,Suite 100,Ventura,CA,93003,United States,805-644-5428,,,,info@diversitycollective.org,,http://www.diversitycollective.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,The Source LGBT+ Center,36.3306078,-119.2939044,ChIJLTDhRGQvlYARuarxqBK1CKg,"208 W Main St, Visalia, CA 93291, USA",208 W Main St. B,,Visalia,CA,93291,United States,559-429-4277,,,,,,http://www.thesourcelgbt.org/,,,,,Monday: 10:00 am - 6:00 pm,Tuesday: 10:00 am - 6:00 pm,Wednesday: 10:00 am - 6:00 pm,Thursday: 10:00 am - 6:00 pm,Friday: 10:00 am - 6:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
41,Out Boulder,40.01989,-105.2767513,ChIJE2fqbSjsa4cRccr3QsveMSw,"1443 Spruce St, Boulder, CO 80302, USA",1443 Spruce Street,,Boulder,CO,80302,United States,303-499-5777,,,,mmoore@outboulder.org,,http://www.outboulder.org/,Mardi Moore (she/her),,,,Monday: 9:00 am - 4:00 pm,Tuesday: 9:00 am - 4:00 pm,Wednesday: 9:00 am - 4:00 pm,Thursday: 9:00 am - 4:00 pm,Friday: 9:00 am - 4:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
42,Queer Asterisk Therapeutic Services,40.0570314,-105.2826281,ChIJ5dekwePua4cRbKpc3bpku1Y,"4535 Broadway Suite 101, Boulder, CO 80304, USA",4535 Broadway,Suite 101,Boulder,CO,80304,United States,,,,,info@queerasterisk.com,,https://queerasterisk.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Inside Out Youth Services Youth Center,38.8374063,-104.8175285,ChIJseVzPxdFE4cRf6Jbdj4GqVE,"223 N Wahsatch Ave Suite 101, Colorado Springs, CO 80903, USA",223 N. Wahsatch Ave,Ste 101,Colorado Springs,CO,80903,United States,719-328-1056,,,,,,http://www.insideoutys.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,The Center on Colfax,39.7402674,-104.970419,ChIJfWXy0sx-bIcRIQ1Ny06WqgQ,"1301 E Colfax Ave, Denver, CO 80218, USA",1301 E. Colfax Ave,,Denver,CO,80218,United States,303-733-7743,,,,info@lgbtqcolorado.org,,https://lgbtqcolorado.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,YouthZone/The Space,39.5456465,-107.322937,ChIJiQNpdr0JQYcR5B9bmb2CYu4,"413 9th St, Glenwood Springs, CO 81601, USA",413 9th Street,,Glenwood Springs,CO,81601,United States,970-945-9300,,,,info@youthzone.com,,https://youthzone.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,New Haven Pride Center,41.3049649,-72.9249621,ChIJ9xHx3UrY54kRe63zwYfZkbQ,"84 Orange St, New Haven, CT 06510, USA",84 Orange Street,,New Haven,CT,6510,United States,203-387-2252,,,,,,http://www.newhavenpridecenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Wheeler Clinic,41.6919063,-72.8799783,ChIJLQ-YRmGw54kR8MYncdDq-EY,"91 Northwest Dr, Plainville, CT 06062, USA",91 Northwest Drive,,Plainville,CT,6062,United States,888-793-3500,,,,,,https://www.wheelerclinic.org/services/lgbtqia-responsive-services-at-wheeler,,,,,Monday: 8:00 am - 6:00 pm,Tuesday: 8:00 am - 6:00 pm,Wednesday: 8:00 am - 6:00 pm,Thursday: 8:00 am - 6:00 pm,Friday: 8:00 am - 6:00 pm,Saturday: Closed,Sunday: Closed,,,,,,,,,,,,,,,,,,
48,Beebe Healthcare,38.7726305,-75.144277,ChIJy1_zyVG3uIkR-XTWFWORaRI,"424 Savannah Rd, Lewes, DE 19958, USA",424 Savannah Rd,,Lewes,DE,19958,United States,302-645-3300,,,,,,https://www.beebehealthcare.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CAMP Rehoboth,38.7174012,-75.0800501,ChIJ-w9iImm2uIkRPqgAjACMDiI,"37 Baltimore Ave, Rehoboth Beach, DE 19971, USA",37 Baltimore Avenue,,Rehoboth Beach,DE,19971,United States,302-227-5620,,,,info@camprehoboth.com,,http://www.camprehoboth.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,The DC Center for the LGBT Community,38.9175431,-77.0325487,ChIJYZ3mkue3t4kRk-w40F-L-NI,"2000 14th St NW #105, Washington, DC 20009, USA",2000 14th Street NW,Suite 105,,DC,20009,United States,202-682-2245,,,,supportdesk@thedccenter.org,,http://www.thedccenter.org/,,,,,Monday: 12:00 - 6:00 pm,Tuesday: 12:00 - 6:00 pm,Wednesday: 12:00 - 6:00 pm,Thursday: 12:00 - 6:00 pm,Friday: 12:00 - 6:00 pm,Satuday: 11:00 am - 3:00 pm,Sunday: Closed,,,,,,,,,,,,,,,,,,
51,Rainbow Families,38.9654259,-77.0762854,ChIJwaQXsqPJt4kRJHdyqCFdxP4,"5614 Connecticut Ave NW UNIT 309, Washington, DC 20015, USA",5614 Connecticut Ave NW,309,,DC,20015,United States,202-845-6913,,,,,,https://www.rainbowfamilies.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SMYAL Youth Center,38.8833984,-76.9959197,ChIJJckVAjO4t4kRRO-_TQtb92I,"410 7th St SE, Washington, DC 20003, USA","410 7th Street, SE",,,DC,20003,United States,202-546-5940,,,,supporterinfo@smyal.org,,https://smyal.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PRISM,26.3627128,-80.111473,ChIJd8L59wge2YgRMzeaTYLlM8U,"1232 NW 14th St, Boca Raton, FL 33486, USA",1232 NW 14th St,,Boca Raton,FL,33486,United States,,,,,,,https://www.prismfl.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Visuality LGBT Community Center,26.6265633,-81.884597,ChIJk4RXV8ZB24gRzyNrWWziYZA,"2756 McGregor Blvd, Fort Myers, FL 33901, USA",2756 McGregor Blvd,,Fort Myers,FL,33901,United States,239-898-6124,,,,,,http://www.visualityflorida.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pride Community Center of North Central Florida,29.6813705,-82.3382163,Ei8zMTMxIE5XIDEzdGggU3QgIzYyLCBHYWluZXN2aWxsZSwgRkwgMzI2MDksIFVTQSIeGhwKFgoUChIJlVIzFGek6IgRNRIj29cThm8SAjYy,"3131 NW 13th St #62, Gainesville, FL 32609, USA",3131 NW 13th St,Suite 62,Gainesville,FL,32609,United States,352-377-8915,,,,,,http://www.pridecommunitycenter.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
